model,rpm,rpd,tpm,type
allam-2-7b,30,7000,6000,chat
canopylabs/orpheus-arabic-saudi,10,100,1200,tts
canopylabs/orpheus-v1-english,10,100,1200,tts
groq/compound,30,250,70000,chat
groq/compound-mini,30,250,70000,chat
llama-3.1-8b-instant,30,14400,6000,chat
llama-3.3-70b-versatile,30,1000,12000,chat
meta-llama/llama-4-scout-17b-16e-instruct,30,1000,30000,vision
meta-llama/llama-prompt-guard-2-22m,30,14400,15000,guard
meta-llama/llama-prompt-guard-2-86m,30,14400,15000,guard
openai/gpt-oss-120b,30,1000,8000,chat
openai/gpt-oss-20b,30,1000,8000,chat
openai/gpt-oss-safeguard-20b,30,1000,8000,guard
qwen/qwen3-32b,60,1000,6000,chat
qwen/qwen3.6-27b,30,1000,8000,chat
whisper-large-v3,20,2000,0,stt
whisper-large-v3-turbo,20,2000,0,stt
